,Level_1,Level_2,Level_3,Level_4,Level_5,MN2P2.1,MN2P2.2,MN2P2.3,MN2P2.4,N0P0.1,N0P0.2,N0P0.3,N0P0.4,N2P2.1,N2P2.2,N2P2.3,N2P2.4,RS.MN2P2.1,RS.MN2P2.2,RS.MN2P2.3,RS.MN2P2.4,RSN0P0.1,RSN0P0.2,RSN0P0.3,RSN0P0.4,RS.N2P2.1,RS.N2P2.2,RS.N2P2.3,RS.N2P2.4
kegg610,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K01915 glutamine synthetase [EC:6.3.1.2],K01915,53,42,49,49,43,50,45,43,51,54,42,50,37,47,42,50,51,49,49,49,53,45,45,51
kegg611,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K01965 propionyl-CoA carboxylase alpha chain [EC:6.4.1.3],K01965,8,8,3,6,3,5,6,4,7,5,6,4,11,8,7,7,7,8,3,7,7,6,7,8
kegg612,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K01966 propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15],K01966,7,12,10,11,8,10,8,7,10,11,11,11,10,8,11,12,13,13,9,9,12,9,7,10
kegg613,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K02437 glycine cleavage system H protein,K02437,13,13,11,11,10,11,12,13,11,16,12,10,14,11,18,12,15,11,12,12,16,12,15,14
kegg614,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,"K03418 N,N-dimethylformamidase [EC:3.5.1.56]",K03418,0,0,3,3,2,1,2,1,2,2,1,2,4,4,2,3,5,4,1,3,3,3,1,2
kegg615,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K03780 L(+)-tartrate dehydratase beta subunit [EC:4.2.1.32],K03780,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,0
kegg616,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K03781 catalase [EC:1.11.1.6],K03781,11,6,8,9,5,9,9,12,6,5,9,8,12,10,12,10,14,6,11,11,14,12,18,13
kegg617,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K05606 methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1],K05606,11,10,14,6,9,4,7,6,8,8,11,11,8,7,11,5,11,6,6,7,9,9,9,5
kegg618,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K07130 arylformamidase [EC:3.5.1.9],K07130,5,4,4,2,4,4,3,3,5,5,4,4,4,6,4,6,4,3,2,3,3,5,4,5
kegg619,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K07246 tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83],K07246,3,2,3,4,2,5,4,4,5,5,7,5,11,8,4,6,6,8,5,8,7,8,10,11
kegg620,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K07248 lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21],K07248,1,1,0,1,0,1,1,1,1,2,0,1,0,1,1,1,1,1,1,0,0,1,1,0
kegg621,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K08691 malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25],K08691,2,4,4,4,8,4,4,2,5,2,4,3,2,4,3,1,2,2,5,1,3,2,3,2
kegg622,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K08692 malate-CoA ligase subunit alpha [EC:6.2.1.9],K08692,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0,1,1,1,2,0,1,0,0
kegg623,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,"K11263 acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]",K11263,5,7,6,3,3,6,8,8,5,8,12,9,6,6,3,6,11,6,5,4,6,5,4,4
kegg624,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K11472 glycolate oxidase FAD binding subunit,K11472,8,4,4,3,8,7,6,7,6,6,7,6,5,6,7,6,2,9,7,8,3,9,5,6
kegg625,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K11473 glycolate oxidase iron-sulfur subunit,K11473,6,9,6,7,7,12,9,9,11,9,3,6,7,8,13,11,7,10,9,8,5,9,10,10
kegg626,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K11517 (S)-2-hydroxy-acid oxidase [EC:1.1.3.15],K11517,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
kegg627,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K11529 glycerate 2-kinase [EC:2.7.1.165],K11529,9,6,8,7,8,9,6,7,9,7,8,7,6,5,10,8,5,9,10,7,8,9,10,7
kegg628,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K12972 glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],K12972,2,5,4,3,4,1,4,2,3,4,3,6,4,6,7,8,6,5,3,6,5,5,11,11
kegg629,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K14067 malate-CoA ligase subunit beta [EC:6.2.1.9],K14067,0,1,2,1,2,1,0,1,0,1,2,1,0,0,0,1,0,1,3,1,0,1,0,0
kegg630,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K14446 crotonyl-CoA carboxylase/reductase [EC:1.3.1.85],K14446,3,3,3,1,1,2,3,3,4,4,3,2,0,3,1,1,3,2,3,5,1,1,2,2
kegg631,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K14447 ethylmalonyl-CoA mutase [EC:5.4.99.63],K14447,3,3,5,1,3,1,5,5,4,2,4,2,2,2,1,3,1,4,2,3,3,3,3,4
kegg632,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K14448 (2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12],K14448,5,3,4,5,1,2,4,2,3,4,1,2,2,2,2,1,0,4,3,3,3,3,2,2
kegg633,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K14449 2-methylfumaryl-CoA hydratase [EC:4.2.1.148],K14449,2,2,0,2,4,1,3,3,1,2,5,1,1,1,4,2,1,2,4,3,2,2,1,2
kegg634,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K14451 (3S)-malyl-CoA thioesterase [EC:3.1.2.30],K14451,1,0,0,2,1,2,1,1,1,1,1,1,2,2,1,1,1,0,1,2,1,2,2,1
kegg635,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K15918 D-glycerate 3-kinase [EC:2.7.1.31],K15918,0,0,0,1,0,0,0,0,1,0,0,1,2,1,1,1,1,1,1,0,0,1,0,0
kegg636,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K15919 glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],K15919,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
kegg637,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K17865 3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55],K17865,1,1,1,5,5,1,4,2,3,1,2,3,1,3,2,3,3,3,3,4,2,3,2,1
kegg638,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K18472 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15],K18472,2,2,1,2,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1
kegg639,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K19268 methylaspartate mutase epsilon subunit [EC:5.4.99.1],K19268,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg640,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K19312 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15],K19312,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg641,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K22133 oxalate---CoA ligase [EC:6.2.1.8],K22133,1,1,2,1,1,0,0,1,0,0,0,2,2,2,1,1,1,1,1,2,1,1,1,2
kegg642,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K22223 phosphoglycolate phosphatase [EC:3.1.3.18],K22223,3,3,5,5,6,3,4,5,4,4,7,4,3,3,5,4,1,4,5,4,4,5,3,3
kegg643,Metabolism,Carbohydrate metabolism,ko00630 Glyoxylate and dicarboxylate metabolism,K22515 formate dehydrogenase beta subunit [EC:1.17.1.9],K22515,1,4,2,3,5,3,4,1,4,3,4,3,2,5,3,4,3,3,1,4,3,4,3,3
kegg644,Metabolism,-,Carbohydrate metabolism,ko00640 Propanoate metabolism,ko00640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg645,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00005 glycerol dehydrogenase [EC:1.1.1.6],K00005,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,3,1,0,0,1,0,0,0
kegg646,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00016 L-lactate dehydrogenase [EC:1.1.1.27],K00016,2,3,4,6,7,6,7,7,5,3,4,5,3,1,4,2,4,4,4,3,4,3,3,3
kegg647,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00140 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27],K00140,13,10,10,9,10,12,12,8,11,9,9,10,14,14,12,6,16,10,6,10,15,10,12,7
kegg648,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00166 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4],K00166,3,2,1,1,1,2,1,1,2,2,2,0,5,4,6,2,4,2,0,2,4,3,4,4
kegg649,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00167 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4],K00167,3,1,1,1,5,1,2,3,2,2,1,0,3,4,0,3,4,3,1,4,6,4,4,6
kegg650,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00169 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],K00169,7,10,12,6,12,10,14,12,7,11,6,8,3,6,7,5,7,8,10,8,4,3,6,6
kegg651,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00170 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],K00170,8,9,9,6,21,14,15,9,10,12,11,12,7,7,10,8,6,7,9,4,5,8,6,7
kegg652,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00171 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],K00171,2,3,3,3,2,3,2,4,3,3,1,3,1,2,2,1,2,3,3,2,1,2,1,3
kegg653,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00172 pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1],K00172,4,4,8,5,5,9,7,8,6,7,5,5,1,5,4,2,3,5,5,5,2,4,4,5
kegg654,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00232 acyl-CoA oxidase [EC:1.3.3.6],K00232,0,1,0,1,0,1,0,1,0,1,1,2,1,0,1,1,2,0,1,1,1,1,2,0
kegg655,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00248 butyryl-CoA dehydrogenase [EC:1.3.8.1],K00248,2,1,2,1,1,1,1,1,1,1,0,1,2,3,0,3,2,3,0,2,2,1,2,1
kegg656,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4],K00382,25,19,25,24,23,27,30,22,21,23,20,24,29,30,20,28,31,23,19,28,36,24,27,22
kegg657,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00625 phosphate acetyltransferase [EC:2.3.1.8],K00625,6,5,5,5,12,6,10,13,3,5,4,5,4,2,8,3,9,14,9,9,5,5,5,5
kegg658,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9],K00626,39,39,41,27,35,44,38,41,39,42,44,41,59,50,41,46,59,52,35,41,56,51,54,58
kegg659,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00656 formate C-acetyltransferase [EC:2.3.1.54],K00656,1,1,1,1,1,2,0,4,2,3,2,1,1,1,1,3,4,3,1,2,0,1,2,3
kegg660,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00822 beta-alanine--pyruvate transaminase [EC:2.6.1.18],K00822,7,6,7,7,9,7,6,8,6,6,6,5,8,6,7,9,9,8,5,6,9,9,10,8
kegg661,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00823 4-aminobutyrate aminotransferase [EC:2.6.1.19],K00823,9,8,6,6,5,7,7,5,6,6,7,8,11,5,4,6,11,5,11,6,5,9,5,4
kegg662,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K00925 acetate kinase [EC:2.7.2.1],K00925,13,12,14,13,10,15,15,19,7,14,11,8,8,9,11,8,5,12,14,13,14,10,13,13
kegg663,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01026 propionate CoA-transferase [EC:2.8.3.1],K01026,8,8,9,11,9,7,10,6,7,7,9,7,10,7,9,7,5,9,11,8,5,9,9,5
kegg664,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01034 acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9],K01034,5,3,2,1,3,3,1,3,2,3,3,1,0,2,4,2,1,3,2,4,2,1,2,1
kegg665,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01035 acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9],K01035,4,2,1,2,3,4,1,3,2,2,3,1,1,1,2,3,2,3,2,3,3,2,3,2
kegg666,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01574 acetoacetate decarboxylase [EC:4.1.1.4],K01574,1,0,0,0,0,1,1,3,1,1,1,0,1,0,0,1,2,2,0,1,1,1,1,1
kegg667,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01578 malonyl-CoA decarboxylase [EC:4.1.1.9],K01578,1,2,1,1,0,2,2,2,2,3,1,1,2,3,1,3,3,2,1,2,1,3,0,2
kegg668,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01659 2-methylcitrate synthase [EC:2.3.3.5],K01659,5,4,3,3,4,1,1,4,2,3,3,2,5,3,5,4,3,3,1,7,1,2,3,5
kegg669,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01682 aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],K01682,0,0,0,1,0,0,0,0,0,0,1,0,2,3,2,4,2,1,1,3,0,2,2,3
kegg670,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01692 enoyl-CoA hydratase [EC:4.2.1.17],K01692,13,18,17,16,17,20,18,12,15,20,19,22,38,31,34,26,42,28,20,28,42,37,30,40
kegg671,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01699 propanediol dehydratase large subunit [EC:4.2.1.28],K01699,0,0,1,0,0,1,1,1,1,2,1,1,0,1,0,1,2,1,2,2,1,0,1,2
kegg672,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01720 2-methylcitrate dehydratase [EC:4.2.1.79],K01720,3,4,9,6,7,5,4,6,6,5,7,8,6,5,5,4,8,2,6,5,4,4,4,2
kegg673,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01734 methylglyoxal synthase [EC:4.2.3.3],K01734,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,2,1,0,2,1,1,3,0
kegg674,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01782 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],K01782,3,5,6,5,3,7,2,5,4,6,6,7,9,4,6,6,10,6,5,7,8,4,5,9
kegg675,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01847 methylmalonyl-CoA mutase [EC:5.4.99.2],K01847,6,4,3,2,6,6,8,7,4,5,4,5,6,9,6,7,9,7,4,6,6,6,4,7
kegg676,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,"K01848 methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]",K01848,17,16,17,12,14,17,15,14,14,16,21,19,9,9,7,10,8,11,10,15,10,12,9,9
kegg677,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,"K01849 methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]",K01849,6,6,5,6,6,6,3,4,7,5,7,5,3,6,4,3,4,3,7,4,3,5,4,2
kegg678,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01895 acetyl-CoA synthetase [EC:6.2.1.1],K01895,28,29,36,38,28,28,26,26,26,36,41,29,37,27,29,29,32,26,26,29,32,36,31,27
kegg679,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01902 succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],K01902,15,17,16,14,16,10,8,12,14,18,16,15,18,16,16,14,15,16,12,13,17,15,12,13
kegg680,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01903 succinyl-CoA synthetase beta subunit [EC:6.2.1.5],K01903,17,16,18,17,18,18,9,13,18,20,21,18,21,22,17,19,18,15,16,14,16,21,17,18
kegg681,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01908 propionyl-CoA synthetase [EC:6.2.1.17],K01908,2,2,5,1,7,4,4,1,3,4,0,2,5,4,5,3,2,3,5,5,6,4,4,5
kegg682,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,"K01961 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",K01961,15,13,13,17,10,13,14,15,15,16,17,11,16,16,22,17,18,11,11,13,20,17,15,13
kegg683,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01962 acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15],K01962,3,7,6,7,10,7,3,3,7,6,6,3,12,7,8,10,11,7,5,5,9,8,9,9
kegg684,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01963 acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15],K01963,5,5,4,6,5,4,5,4,6,5,7,7,13,5,7,6,8,7,4,4,6,10,6,7
kegg685,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01965 propionyl-CoA carboxylase alpha chain [EC:6.4.1.3],K01965,8,7,3,6,3,7,7,5,7,7,6,4,9,8,7,6,7,6,4,7,8,6,8,10
kegg686,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K01966 propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15],K01966,8,11,11,12,8,10,9,7,9,12,11,10,10,10,10,12,13,14,9,9,9,10,8,11
kegg687,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K02160 acetyl-CoA carboxylase biotin carboxyl carrier protein,K02160,9,9,8,9,7,8,10,10,12,6,9,13,9,9,9,6,10,8,8,8,7,10,11,7
kegg688,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K03417 methylisocitrate lyase [EC:4.1.3.30],K03417,4,7,5,4,4,3,3,4,5,5,4,4,5,4,4,3,4,4,4,5,5,2,4,3
kegg689,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K05605 3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4],K05605,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kegg690,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K05606 methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1],K05606,11,10,13,6,9,6,6,7,11,9,12,10,8,7,10,5,9,8,6,7,9,10,9,9
kegg691,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K07250 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48],K07250,3,5,4,4,2,4,4,6,6,4,3,6,6,6,5,3,8,3,3,2,7,3,5,6
kegg692,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K08325 NADP-dependent alcohol dehydrogenase [EC:1.1.-.-],K08325,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0
kegg693,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K09699 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168],K09699,1,3,1,1,3,1,0,1,3,1,1,3,4,2,3,2,5,2,1,3,3,2,4,3
kegg694,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K09788 2-methylaconitate isomerase [EC:5.3.3.-],K09788,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,1,1,1,2,1
kegg695,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,"K11263 acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]",K11263,4,7,6,3,3,6,8,6,6,7,12,9,6,5,3,5,10,7,5,5,7,5,4,4
kegg696,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K11264 methylmalonyl-CoA decarboxylase [EC:4.1.1.-],K11264,0,2,3,0,2,1,0,1,1,1,1,2,0,2,0,1,1,2,3,3,0,1,2,1
kegg697,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K11381 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],K11381,6,5,3,4,1,4,2,4,6,5,3,4,9,6,9,6,8,5,6,4,4,3,6,8
kegg698,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K13788 phosphate acetyltransferase [EC:2.3.1.8],K13788,2,1,1,1,1,0,1,0,2,3,1,2,2,2,2,2,5,2,3,2,1,2,2,2
kegg699,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K13919 propanediol dehydratase medium subunit [EC:4.2.1.28],K13919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg700,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K13920 propanediol dehydratase small subunit [EC:4.2.1.28],K13920,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1
kegg701,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18223 propane 2-monooxygenase large subunit [EC:1.14.13.227],K18223,2,1,1,2,0,1,1,0,1,1,1,1,0,0,2,0,0,1,0,2,1,1,0,1
kegg702,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18224 propane 2-monooxygenase small subunit [EC:1.14.13.227],K18224,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
kegg703,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18225 propane monooxygenase reductase component [EC:1.18.1.-],K18225,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0
kegg704,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18226 propane monooxygenase coupling protein,K18226,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0
kegg705,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18369 alcohol dehydrogenase [EC:1.1.1.-],K18369,3,6,3,6,3,4,5,6,3,4,5,4,3,5,2,3,2,4,2,5,3,1,3,3
kegg706,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18371 acetone monooxygenase (methyl acetate-forming) [EC:1.14.13.226],K18371,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,2,0,1,1,1
kegg707,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18372 methyl acetate hydrolase [EC:3.1.1.114],K18372,3,4,7,5,2,2,4,4,4,2,5,3,2,2,2,3,2,6,4,3,1,2,2,2
kegg708,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18382 NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-],K18382,1,2,3,1,2,1,4,1,2,2,1,2,0,1,1,0,1,2,1,1,0,2,1,1
kegg709,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18471 methylglyoxal reductase [EC:1.1.1.-],K18471,1,1,1,1,0,0,0,1,0,1,0,1,0,1,2,1,2,1,1,1,1,1,0,1
kegg710,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K18472 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15],K18472,2,2,1,2,0,0,1,1,2,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1
kegg711,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K19312 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15],K19312,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
kegg712,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K19697 propionate kinase [EC:2.7.2.15],K19697,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
kegg713,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K19745 acrylyl-CoA reductase (NADPH) [EC:1.3.1.-],K19745,5,4,5,5,4,3,4,4,5,5,6,4,3,5,5,4,8,6,2,4,5,4,4,5
kegg714,Metabolism,Carbohydrate metabolism,ko00640 Propanoate metabolism,K20455 2-methylcitrate dehydratase (2-methyl-trans-aconitate forming) [EC:4.2.1.117],K20455,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,1,1,1,1,0
